start_pacific,end_pacific,duration_sec,video_id,url
2026-09-07 10:07:38 AM,10:08:01 AM,23,v2867928565,https://www.twitch.tv/videos/2867928565
2026-09-07 10:08:12 AM,10:08:35 AM,23,v2867929095,https://www.twitch.tv/videos/2867929095
2026-09-07 10:08:46 AM,10:09:12 AM,26,v2867929549,https://www.twitch.tv/videos/2867929549
2026-09-07 10:09:22 AM,10:09:48 AM,26,v2867930104,https://www.twitch.tv/videos/2867930104
2026-09-07 10:09:59 AM,10:10:26 AM,27,v2867930621,https://www.twitch.tv/videos/2867930621
2026-09-07 10:10:36 AM,10:11:03 AM,27,v2867931186,https://www.twitch.tv/videos/2867931186
2026-09-07 10:11:14 AM,10:11:41 AM,27,v2867931734,https://www.twitch.tv/videos/2867931734
2026-09-07 10:11:52 AM,10:12:16 AM,24,v2867932322,https://www.twitch.tv/videos/2867932322
2026-09-07 10:12:26 AM,10:12:50 AM,24,v2867932813,https://www.twitch.tv/videos/2867932813
2026-09-07 10:13:01 AM,10:13:26 AM,25,v2867933292,https://www.twitch.tv/videos/2867933292
2026-09-07 10:13:37 AM,10:14:06 AM,29,v2867933777,https://www.twitch.tv/videos/2867933777
2026-09-07 10:14:16 AM,10:14:42 AM,26,v2867934349,https://www.twitch.tv/videos/2867934349
2026-09-07 10:14:52 AM,10:15:18 AM,26,v2867934885,https://www.twitch.tv/videos/2867934885
2026-09-07 10:15:29 AM,10:15:55 AM,26,v2867935412,https://www.twitch.tv/videos/2867935412
2026-09-07 10:16:06 AM,10:16:30 AM,24,v2867935988,https://www.twitch.tv/videos/2867935988
2026-09-07 10:16:40 AM,10:17:02 AM,22,v2867936493,https://www.twitch.tv/videos/2867936493
2026-09-07 10:17:12 AM,10:17:34 AM,22,v2867936940,https://www.twitch.tv/videos/2867936940
2026-09-07 10:17:44 AM,10:18:08 AM,24,v2867937350,https://www.twitch.tv/videos/2867937350
2026-09-07 10:18:18 AM,10:18:41 AM,23,v2867937807,https://www.twitch.tv/videos/2867937807
2026-09-07 10:18:51 AM,10:19:15 AM,24,v2867938321,https://www.twitch.tv/videos/2867938321
2026-09-07 10:19:25 AM,10:19:49 AM,24,v2867938784,https://www.twitch.tv/videos/2867938784
2026-09-07 10:20:00 AM,10:20:28 AM,28,v2867939258,https://www.twitch.tv/videos/2867939258
2026-09-07 10:20:38 AM,10:21:04 AM,26,v2867939823,https://www.twitch.tv/videos/2867939823
2026-09-07 10:21:14 AM,10:21:41 AM,27,v2867940339,https://www.twitch.tv/videos/2867940339
2026-09-07 10:21:51 AM,10:22:17 AM,26,v2867940886,https://www.twitch.tv/videos/2867940886
2026-09-07 10:22:28 AM,10:22:54 AM,26,v2867941467,https://www.twitch.tv/videos/2867941467
